# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	2196
#@/user_id	2446a328-747d-437d-b808-ae91155c7f29
a 	啊	c=1 d=1.01702 t=2196
a ke la 	阿克拉	c=0 d=0.1 t=2139
a san da jian feng kuang 	啊三大件瘋狂	c=2 d=1.99501 t=572
a san da jian feng kuang le 	啊三大件瘋狂了	c=1 d=1 t=2138
a san da jian kai fa 	啊三大件開發	c=1 d=0.99005 t=2196
a su fei 	啊蘇菲	c=1 d=1 t=2139
ai ke fa 	愛克發	c=0 d=0.1 t=569
an zhuang 	安裝	c=3 d=1.00029 t=2144
ba 	吧	c=2 d=0.980199 t=2196
ba 	把	c=2 d=1.75201 t=1570
bai du 	百度	c=4 d=3.9871 t=1993
bai du yun 	百度暈	c=1 d=1 t=1994
ban qi shi tou 	搬起石頭	c=1 d=0.995012 t=2196
bang 	棒	c=1 d=1 t=818
bao chi 	保持	c=3 d=1.14816 t=2196
bao gao 	報告	c=3 d=2.98506 t=2196
bao han le 	包含了	c=1 d=0.729789 t=2196
bao liu 	保留	c=1 d=1 t=1320
bao liu le 	保留了	c=1 d=1 t=1253
bei 	被	c=3 d=1.87411 t=2196
bei cheng wei 	被稱爲	c=1 d=1 t=482
bei li gong 	北理工	c=1 d=1 t=376
ben wen 	本文	c=4 d=2.44581 t=2178
ben zhang 	本章	c=2 d=1.99005 t=2175
ben zhi 	本質	c=1 d=0.70822 t=2196
ben zhi shang 	本質上	c=1 d=0.442639 t=2196
bi 	比	c=1 d=1 t=1601
bi jiao 	比較	c=2 d=0.985112 t=2196
bian cheng 	變成	c=1 d=0.71177 t=2196
bian huan 	變換	c=1 d=1 t=1209
bian liang 	變量	c=1 d=1 t=1976
bian xian 	變現	c=1 d=1 t=2043
bian yi 	編譯	c=1 d=1 t=2078
biao 	表	c=1 d=1 t=725
biao ding 	標定	c=3 d=1.49683 t=2196
biao shi 	表示	c=2 d=1.30795 t=2196
biao xian 	表現	c=4 d=2.42973 t=2044
bing 	並	c=12 d=2.25174 t=2066
bing nu zu 	並怒族	c=1 d=1 t=1311
bing qie 	並且	c=4 d=1.29206 t=1898
bu 	不	c=1 d=1 t=606
bu duan 	不斷	c=1 d=0.436049 t=2196
bu fen 	部分	c=5 d=1.18734 t=1661
bu guan 	不管	c=1 d=0.433874 t=2196
bu guo 	不過	c=1 d=1 t=732
bu jin 	不僅	c=1 d=1 t=1567
bu ju bei 	不具備	c=1 d=1 t=959
bu ke bi mian de 	不可避免的	c=1 d=1 t=414
bu neng 	不能	c=0 d=0.1 t=2147
bu ru 	不如	c=1 d=1 t=1885
bu sa 	布薩	c=0 d=0.1 t=1712
bu sa hou 	布薩後	c=1 d=1 t=1713
bu shao 	不少	c=3 d=2.03156 t=1715
bu tong 	不同	c=4 d=1.30113 t=2196
bu yi yang 	不一樣	c=1 d=1 t=564
bu zu 	不足	c=1 d=1 t=1312
ca 	擦	c=0 d=0.0755784 t=2196
ca han 	擦汗	c=0 d=0.1 t=1885
ca han gu niang jia 	擦汗姑娘家	c=1 d=1 t=1886
ca mian er an 	擦眠爾安	c=1 d=0.759572 t=2196
cai 	才	c=1 d=1 t=1641
cai ji 	採集	c=1 d=1 t=337
cai ji zhe 	採集者	c=1 d=1 t=366
cai qu 	採取	c=1 d=1 t=1044
cai yang 	採樣	c=1 d=1 t=396
cai yong 	採用	c=2 d=1.11025 t=1764
cai yong le 	才用了	c=2 d=1.47237 t=1792
can shu 	參數	c=3 d=0.790571 t=2196
can yu 	參與	c=1 d=1 t=1212
ce lue 	策略	c=1 d=1 t=1750
ce shi 	測試	c=2 d=1.01284 t=1223
cha 	差	c=1 d=1 t=666
chan sheng 	產生	c=1 d=1 t=391
chang 	長	c=2 d=1.08006 t=1318
chang du 	長度	c=1 d=1 t=354
chang jing 	場景	c=8 d=4.58639 t=1883
chang shi jian 	長時間	c=1 d=1 t=388
che 	車	c=0 d=0.1 t=1718
cheng 	成	c=3 d=2.06961 t=1298
cheng xiang 	城鄉	c=1 d=0.839457 t=2196
cheng xiang 	成像	c=3 d=0.843665 t=2196
chi du 	尺度	c=5 d=4.44365 t=1877
chong 	重	c=1 d=1 t=1457
chong die 	重疊	c=0 d=0.1 t=945
chu li 	處理	c=2 d=1.12682 t=1116
chu xian 	出現	c=1 d=1 t=2122
chuan gan qi 	傳感器	c=5 d=1.90061 t=990
chuang jian 	創建	c=1 d=1 t=1529
chun 	春	c=1 d=1 t=1308
chun 	純	c=1 d=1 t=1309
ci 	次	c=1 d=1 t=1544
ci 	此	c=1 d=1 t=1545
ci pan 	磁盤	c=2 d=1.99005 t=1969
ci wai 	此外	c=4 d=2.31351 t=1808
cong 	從	c=2 d=1.04619 t=2032
cuo le 	錯了	c=0 d=0.199501 t=2114
cuo wu 	錯誤	c=1 d=1 t=1999
da 	打	c=0 d=0.0904837 t=2196
da chi du 	大尺度	c=1 d=1 t=1851
da fei ji 	打飛機	c=0 d=0.1 t=565
da kai 	打開	c=2 d=0.774134 t=2140
da liang 	大量	c=1 d=1 t=679
da sa 	搭撒	c=0 d=0.198506 t=2196
da sa ji fen ka 	搭撒計分卡	c=2 d=0.995012 t=2196
da sa jian kang 	搭撒健康	c=1 d=1 t=2196
da sa jian kang fa 	搭撒健康發	c=1 d=1 t=331
da zai 	搭載	c=2 d=1.02705 t=1857
dai lai 	帶來	c=3 d=2.91238 t=683
dai lai le 	帶來了	c=1 d=1 t=694
dai ma 	代碼	c=1 d=1 t=1986
dan 	但	c=21 d=1.80562 t=2196
dan 	單	c=1 d=1 t=517
dan ge 	單個	c=1 d=1 t=844
dan mu 	單目	c=3 d=1.17727 t=1555
dan na 	但那	c=1 d=1 t=731
dan qian 	擔前	c=1 d=1 t=2193
dan shi 	但是	c=3 d=0.755784 t=2196
dan wei 	單位	c=1 d=1 t=1787
dan zhong 	膻中	c=1 d=1 t=1828
dang 	當	c=4 d=2.51032 t=1866
dang qian 	當前	c=1 d=1 t=2194
dao 	到	c=3 d=1.64478 t=1578
dao hang 	導航	c=2 d=1.61878 t=1682
dao zhi 	導致	c=1 d=1 t=912
de 	的	c=170 d=14.9617 t=2196
de dao 	得到	c=1 d=1 t=2025
deng 	等	c=1 d=1 t=1594
deng hao 	等號	c=1 d=0.690734 t=2196
deng ren 	等人	c=5 d=1.51479 t=1605
di kang 	抵抗	c=0 d=0.1 t=1948
di kang hui jun 	抵抗揮軍	c=1 d=1 t=1949
di mian 	地面	c=2 d=1.71177 t=1854
di tu 	地圖	c=0 d=0.1 t=1453
di tu dian 	地圖點	c=4 d=2.34177 t=1631
dian 	點	c=6 d=2.21816 t=2196
dian zhui zong 	點追蹤	c=1 d=1 t=1931
diao 	掉	c=2 d=1.98511 t=2152
diao le 	掉了	c=1 d=1 t=1547
ding bu 	頂部	c=2 d=1.1322 t=2196
